Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,subtype,AssemblyName,quality (run)
SRR925759,OTHER,202,15727951896,PRJNA210427,SAMN02225484,9105911573,CAMA1,breast cancer,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX317766,GSM1172948,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172948,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925760,OTHER,200,7734550600,PRJNA210427,SAMN02225486,3238216914,EFM19,breast cancer,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX317767,GSM1172949,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172949,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925761,OTHER,200,12183005000,PRJNA210427,SAMN02225489,5499614493,EFM192A,breast cancer,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX317768,GSM1172950,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172950,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925762,OTHER,202,13237892442,PRJNA210427,SAMN02225491,6187218375,EFM192B,breast cancer,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX317769,GSM1172951,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172951,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925763,OTHER,200,11068247200,PRJNA210427,SAMN02225492,5186751465,EFM192C,breast cancer,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX317770,GSM1172952,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172952,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925764,OTHER,202,11464544542,PRJNA210427,SAMN02225517,5271440881,EVSAT,breast cancer,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX317771,GSM1172953,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172953,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925765,OTHER,210,15258203148,PRJNA210427,SAMN02225496,8559312657,HCC1143,breast cancer,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX317772,GSM1172954,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172954,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925766,OTHER,202,7299940034,PRJNA210427,SAMN02225505,2653548201,HCC1143BL,breast cancer,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX317773,GSM1172955,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172955,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925767,OTHER,201,23400527108,PRJNA210427,SAMN02225501,10727439298,HCC1187,breast cancer,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX317774,GSM1172956,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172956,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925768,OTHER,202,46618357900,PRJNA210427,SAMN02225495,25629202492,HCC1395,breast cancer,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX317775,GSM1172957,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172957,breast cancer cell line,SRP026538,Claudin-low,GCA_000001405.13,
SRR925769,OTHER,202,11248504330,PRJNA210427,SAMN02225497,5247619742,HCC1428,breast cancer,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX317776,GSM1172958,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172958,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925770,OTHER,166,9928658840,PRJNA210427,SAMN02225506,4597846074,HCC1569,breast cancer,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX317777,GSM1172959,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172959,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925771,OTHER,167,8249262284,PRJNA210427,SAMN02225498,3685276735,HCC1806,breast cancer,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX317778,GSM1172960,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172960,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925772,OTHER,200,14098496400,PRJNA210427,SAMN02225502,7026233080,HCC1937,breast cancer,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX317779,GSM1172961,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172961,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925773,OTHER,200,3761991400,PRJNA210427,SAMN02225508,1798860532,HCC1954,breast cancer,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX317780,GSM1172962,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172962,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925774,OTHER,166,9140842408,PRJNA210427,SAMN02225513,4075616823,HCC202,breast cancer,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX317781,GSM1172963,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172963,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925775,OTHER,200,14651471200,PRJNA210427,SAMN02225558,7362318199,HCC2185,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317782,GSM1172964,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172964,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925776,OTHER,200,1692680600,PRJNA210427,SAMN02225554,827094170,HCC2218,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317783,GSM1172965,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172965,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925777,OTHER,166,9954529036,PRJNA210427,SAMN02225540,4680295445,HCC3153,breast cancer,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX317784,GSM1172966,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172966,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925778,OTHER,168,8227616688,PRJNA210427,SAMN02225560,3492027524,HCC38,breast cancer,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX317785,GSM1172967,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172967,breast cancer cell line,SRP026538,Claudin-low,GCA_000001405.13,
SRR925779,OTHER,202,12145293834,PRJNA210427,SAMN02225559,5343852171,HCC38BL,breast cancer,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX317786,GSM1172968,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172968,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925780,OTHER,199,13273633944,PRJNA210427,SAMN02225536,6536145497,HCC70,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317787,GSM1172969,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172969,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925781,OTHER,200,10588416800,PRJNA210427,SAMN02225549,4591006083,HDQP1,breast cancer,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX317788,GSM1172970,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172970,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925782,OTHER,200,12183005000,PRJNA210427,SAMN02225553,5499615209,JIMT1,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317789,GSM1172971,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172971,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925783,OTHER,200,524287800,PRJNA210427,SAMN02225538,250289936,LY2,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317790,GSM1172972,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172972,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925784,OTHER,202,10808080296,PRJNA210427,SAMN02225544,5032873650,MCF10A,breast cancer,GEO,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX317791,GSM1172973,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172973,breast cancer cell line,SRP026538,Non-malignant,GCA_000001405.13,
SRR925785,OTHER,202,10612516824,PRJNA210427,SAMN02225546,4941858013,MCF10F,breast cancer,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX317792,GSM1172974,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172974,breast cancer cell line,SRP026538,Non-malignant,GCA_000001405.13,
SRR925786,OTHER,202,11541198088,PRJNA210427,SAMN02225534,4470955455,MCF12A,breast cancer,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX317793,GSM1172975,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172975,breast cancer cell line,SRP026538,Non-malignant,GCA_000001405.13,
SRR925787,OTHER,202,11848900648,PRJNA210427,SAMN02225552,5421108166,MDAMB134VI,breast cancer,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX317794,GSM1172976,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172976,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925788,OTHER,209,12049362298,PRJNA210427,SAMN02225548,6496883758,MDAMB157,breast cancer,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX317795,GSM1172977,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172977,breast cancer cell line,SRP026538,Claudin-low,GCA_000001405.13,
SRR925789,OTHER,209,12049362298,PRJNA210427,SAMN02225531,6496999907,MDAMB175VII,breast cancer,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX317796,GSM1172978,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172978,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925790,OTHER,162,7625891802,PRJNA210427,SAMN02225543,3223269507,MDAMB231,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317797,GSM1172979,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172979,breast cancer cell line,SRP026538,Claudin-low,GCA_000001405.13,
SRR925791,OTHER,202,11174404872,PRJNA210427,SAMN02225541,4114247743,MDAMB361,breast cancer,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX317798,GSM1172980,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172980,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925792,OTHER,161,8954481594,PRJNA210427,SAMN02225527,3758363928,MDAMB415,breast cancer,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX317799,GSM1172981,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172981,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925793,OTHER,191,11730605304,PRJNA210427,SAMN02225547,5742628865,MDAMB436,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317800,GSM1172982,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172982,breast cancer cell line,SRP026538,Claudin-low,GCA_000001405.13,
SRR925794,OTHER,200,11398973652,PRJNA210427,SAMN02225535,5864166832,MDAMB453,breast cancer,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX317801,GSM1172983,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172983,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925795,OTHER,197,11584914372,PRJNA210427,SAMN02225525,6018879922,MDAMB468,breast cancer,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX317802,GSM1172984,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172984,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925796,OTHER,202,13165019124,PRJNA210427,SAMN02225533,6145324441,MFM223,breast cancer,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX317803,GSM1172985,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172985,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925797,OTHER,200,27986298846,PRJNA210427,SAMN02225530,13093675636,MT3,breast cancer,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX317804,GSM1172986,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172986,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925798,OTHER,200,13090997800,PRJNA210427,SAMN02225524,6233368466,MX1,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317805,GSM1172987,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172987,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925799,OTHER,202,20177779394,PRJNA210427,SAMN02225532,9967354792,PMC42,breast cancer,GEO,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX317806,GSM1172988,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172988,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925800,OTHER,200,13242420400,PRJNA210427,SAMN02225528,5622378411,SKBR3,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317807,GSM1172989,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172989,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925801,OTHER,202,47767518124,PRJNA210427,SAMN02225522,27212872949,SUM102PT,breast cancer,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX317808,GSM1172990,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172990,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925802,OTHER,198,9881552808,PRJNA210427,SAMN02225529,4773058052,SUM1315MO2,breast cancer,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX317809,GSM1172991,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172991,breast cancer cell line,SRP026538,Claudin-low,GCA_000001405.13,
SRR925803,OTHER,198,11535280164,PRJNA210427,SAMN02225526,5832940631,SUM149PT,breast cancer,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX317810,GSM1172992,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172992,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925804,OTHER,200,9046773900,PRJNA210427,SAMN02225523,4358516233,SUM159PT,breast cancer,GEO,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX317811,GSM1172993,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172993,breast cancer cell line,SRP026538,Claudin-low,GCA_000001405.13,
SRR925805,OTHER,202,47809905400,PRJNA210427,SAMN02225499,25791389643,SUM185PE,breast cancer,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX317812,GSM1172994,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172994,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925806,OTHER,202,46142257030,PRJNA210427,SAMN02225504,25142376938,SUM225CWN,breast cancer,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX317813,GSM1172995,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172995,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925807,OTHER,200,11919258800,PRJNA210427,SAMN02225521,5677278676,SUM229PE,breast cancer,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX317814,GSM1172996,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172996,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925808,OTHER,200,16459715800,PRJNA210427,SAMN02225500,7468661764,SUM44PE,breast cancer,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX317815,GSM1172997,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172997,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925809,OTHER,200,27635885022,PRJNA210427,SAMN02225511,13018850116,SUM52PE,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317816,GSM1172998,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172998,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925810,OTHER,200,11615406800,PRJNA210427,SAMN02225512,5384036092,T4,breast cancer,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX317817,GSM1172999,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172999,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925811,OTHER,200,10682349624,PRJNA210427,SAMN02225510,5444211551,T47D,breast cancer,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX317818,GSM1173000,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1173000,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925812,OTHER,200,13470552200,PRJNA210427,SAMN02225519,6438744729,T47D_KBluc,breast cancer,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX317819,GSM1173001,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1173001,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925813,OTHER,198,12539613924,PRJNA210427,SAMN02225515,6664450918,UACC812,breast cancer,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX317820,GSM1173002,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1173002,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925814,OTHER,210,12601551186,PRJNA210427,SAMN02225503,6866040799,UACC893,breast cancer,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX317821,GSM1173003,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1173003,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925815,OTHER,210,14184214662,PRJNA210427,SAMN02225509,7767277668,ZR751,breast cancer,GEO,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX317822,GSM1173004,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1173004,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925816,OTHER,210,15045569594,PRJNA210427,SAMN02225518,8552288079,ZR7530,breast cancer,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX317823,GSM1173005,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1173005,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925817,OTHER,200,1984049200,PRJNA210427,SAMN02225507,952616101,ZR75B,breast cancer,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX317824,GSM1173006,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1173006,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR934631,RNA-Seq,152,2118937456,PRJNA210428,SAMN02225582,1135657997,HCC2218,breast cancer,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX317719,GSM1172873,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172873,breast cancer cell line,SRP026537,Luminal,,
SRR934632,RNA-Seq,156,3093068628,PRJNA210428,SAMN02225582,1745620222,HCC2218,breast cancer,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX317719,GSM1172873,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172873,breast cancer cell line,SRP026537,Luminal,,
SRR934633,RNA-Seq,156,3077489376,PRJNA210428,SAMN02225582,1680231704,HCC2218,breast cancer,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX317719,GSM1172873,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172873,breast cancer cell line,SRP026537,Luminal,,
SRR934634,RNA-Seq,152,1798227184,PRJNA210428,SAMN02225565,960086132,MCF12A,breast cancer,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX317729,GSM1172884,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172884,breast cancer cell line,SRP026537,Non-malignant,,
SRR934635,RNA-Seq,156,4603764204,PRJNA210428,SAMN02225565,2718193081,MCF12A,breast cancer,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX317729,GSM1172884,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172884,breast cancer cell line,SRP026537,Non-malignant,,
SRR934636,RNA-Seq,152,2681983760,PRJNA210428,SAMN02225568,1474758470,SUM1315,breast cancer,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX317737,GSM1172896,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172896,breast cancer cell line,SRP026537,Claudin-low,,
SRR934637,RNA-Seq,156,3555157008,PRJNA210428,SAMN02225568,2034376541,SUM1315,breast cancer,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX317737,GSM1172896,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172896,breast cancer cell line,SRP026537,Claudin-low,,
SRR934638,RNA-Seq,152,3406031504,PRJNA210428,SAMN02225545,1684957137,SUM149PT,breast cancer,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX317738,GSM1172897,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172897,breast cancer cell line,SRP026537,Basal,,
SRR934639,RNA-Seq,156,4093131588,PRJNA210428,SAMN02225545,2484068833,SUM149PT,breast cancer,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX317738,GSM1172897,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172897,breast cancer cell line,SRP026537,Basal,,
SRR934640,RNA-Seq,152,3406076192,PRJNA210428,SAMN02225569,2084539630,SUM225CWN,breast cancer,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX317740,GSM1172901,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172901,breast cancer cell line,SRP026537,Luminal,,
