,exonic_length
ENSG00000182854,2117
ENSG00000182858,5898
ENSG00000182866,8729
ENSG00000182870,10228
ENSG00000182871,11303
ENSG00000182872,4549
ENSG00000182873,1870
ENSG00000182885,5253
ENSG00000182888,451
ENSG00000182890,2484
ENSG00000182896,2287
ENSG00000182898,3603
ENSG00000182899,4295
ENSG00000182901,2854
ENSG00000182902,7104
ENSG00000182903,7544
ENSG00000182912,3583
ENSG00000182916,1980
ENSG00000182919,13250
ENSG00000182921,790
ENSG00000182923,16533
ENSG00000182931,626
ENSG00000182934,6750
ENSG00000182938,2330
ENSG00000182944,18915
ENSG00000182950,1128
ENSG00000182952,2052
ENSG00000182957,24778
ENSG00000182963,16499
ENSG00000182965,864
ENSG00000182968,4557
ENSG00000182973,8742
ENSG00000182974,1083
ENSG00000182979,11398
ENSG00000182983,11081
ENSG00000182985,21436
ENSG00000182986,22728
ENSG00000182993,7255
ENSG00000183010,8217
ENSG00000183011,3733
ENSG00000183018,7225
ENSG00000183019,2493
ENSG00000183020,16667
ENSG00000183022,642
ENSG00000183023,31521
ENSG00000183024,997
ENSG00000183032,5332
ENSG00000183034,3303
ENSG00000183035,2319
ENSG00000183036,1517
ENSG00000183044,17541
ENSG00000183048,5832
ENSG00000183049,10343
ENSG00000183054,17706
ENSG00000183055,703
ENSG00000183060,16496
ENSG00000183066,8244
ENSG00000183067,2904
ENSG00000183072,3900
ENSG00000183077,7423
ENSG00000183087,7585
ENSG00000183090,6875
ENSG00000183091,34066
ENSG00000183092,13463
ENSG00000183098,7445
ENSG00000183111,5534
ENSG00000183114,2447
ENSG00000183117,28520
ENSG00000183122,2726
ENSG00000183128,1649
ENSG00000183134,2879
ENSG00000183137,16082
ENSG00000183145,3994
ENSG00000183146,874
ENSG00000183148,7025
ENSG00000183150,6467
ENSG00000183153,4085
ENSG00000183154,2084
ENSG00000183155,3117
ENSG00000183160,4279
ENSG00000183161,3290
ENSG00000183166,18916
ENSG00000183169,3766
ENSG00000183171,2142
ENSG00000183172,2307
ENSG00000183185,6221
ENSG00000183186,3097
ENSG00000183196,14899
ENSG00000183199,2172
ENSG00000183206,9562
ENSG00000183207,5891
ENSG00000183208,7968
ENSG00000183214,5684
ENSG00000183230,12183
ENSG00000183239,454
ENSG00000183242,7757
ENSG00000183246,11257
ENSG00000183248,5502
ENSG00000183249,446
ENSG00000183250,16448
ENSG00000183251,932
ENSG00000183255,8601
ENSG00000183258,11619
ENSG00000183260,1490
ENSG00000183269,1060
ENSG00000183273,4662
ENSG00000183281,4964
ENSG00000183283,13823
ENSG00000183287,13582
ENSG00000183291,6668
ENSG00000183292,7114
ENSG00000183298,879
ENSG00000183303,1068
ENSG00000183304,1606
ENSG00000183305,7582
ENSG00000183307,9022
ENSG00000183308,1301
ENSG00000183309,9621
ENSG00000183310,956
ENSG00000183311,4101
ENSG00000183313,1093
ENSG00000183317,11140
ENSG00000183318,1552
ENSG00000183323,14499
ENSG00000183324,1172
ENSG00000183336,2348
ENSG00000183337,24988
ENSG00000183340,3871
ENSG00000183346,2419
ENSG00000183347,4674
ENSG00000183354,15335
ENSG00000183378,2587
ENSG00000183379,5468
ENSG00000183385,704
ENSG00000183386,2979
ENSG00000183389,4973
ENSG00000183395,751
ENSG00000183396,574
ENSG00000183397,670
ENSG00000183401,8316
ENSG00000183421,6926
ENSG00000183423,4459
ENSG00000183426,9584
ENSG00000183431,5277
ENSG00000183432,497
ENSG00000183434,1692
ENSG00000183439,3800
ENSG00000183444,984
ENSG00000183454,38016
ENSG00000183458,7024
ENSG00000183463,965
ENSG00000183470,2435
ENSG00000183474,10031
ENSG00000183475,8404
ENSG00000183476,3864
ENSG00000183479,3768
ENSG00000183484,13175
ENSG00000183486,17838
ENSG00000183495,25507
ENSG00000183496,7735
ENSG00000183506,17434
ENSG00000183508,5652
ENSG00000183513,4273
ENSG00000183514,561
ENSG00000183520,4366
ENSG00000183527,3066
ENSG00000183530,19214
ENSG00000183535,3608
ENSG00000183542,926
ENSG00000183549,5360
ENSG00000183559,1634
ENSG00000183560,1460
ENSG00000183562,1481
ENSG00000183566,2299
ENSG00000183569,5647
ENSG00000183570,10902
ENSG00000183571,2377
ENSG00000183574,1498
ENSG00000183576,9204
ENSG00000183578,6319
ENSG00000183579,7596
ENSG00000183580,9588
ENSG00000183586,192
ENSG00000183597,18110
ENSG00000183598,468
ENSG00000183604,5522
ENSG00000183605,3261
ENSG00000183607,1910
ENSG00000183615,945
ENSG00000183617,1094
ENSG00000183621,7928
ENSG00000183624,6065
ENSG00000183625,7156
ENSG00000183628,9046
ENSG00000183629,13049
ENSG00000183631,1261
ENSG00000183632,7889
ENSG00000183638,8916
ENSG00000183640,577
ENSG00000183643,2988
ENSG00000183644,3912
ENSG00000183647,10003
ENSG00000183648,3167
ENSG00000183654,2646
ENSG00000183655,9335
ENSG00000183662,3288
ENSG00000183663,952
ENSG00000183665,3585
ENSG00000183666,7799
ENSG00000183668,9300
ENSG00000183671,9048
ENSG00000183674,9002
ENSG00000183682,5629
ENSG00000183684,1968
ENSG00000183688,3619
ENSG00000183690,4327
ENSG00000183691,1912
ENSG00000183695,2070
ENSG00000183696,7651
ENSG00000183704,1328
ENSG00000183706,950
ENSG00000183709,945
ENSG00000183715,14047
ENSG00000183718,11701
ENSG00000183722,5286
ENSG00000183723,12076
ENSG00000183726,5064
ENSG00000183729,2686
ENSG00000183733,717
ENSG00000183734,1850
ENSG00000183735,15441
ENSG00000183741,11066
ENSG00000183742,11020
ENSG00000183747,14207
ENSG00000183751,9724
ENSG00000183753,1985
ENSG00000183760,3684
ENSG00000183762,9247
ENSG00000183763,6264
ENSG00000183765,8056
ENSG00000183770,2913
ENSG00000183773,9875
ENSG00000183775,14248
ENSG00000183778,19004
ENSG00000183779,3314
ENSG00000183780,3438
ENSG00000183783,3053
ENSG00000183784,5702
ENSG00000183785,5074
ENSG00000183791,3516
ENSG00000183793,1541
ENSG00000183795,1985
ENSG00000183798,3787
ENSG00000183801,6919
ENSG00000183807,1028
ENSG00000183808,18306
ENSG00000183813,3023
ENSG00000183814,6391
ENSG00000183822,1502
ENSG00000183826,14807
ENSG00000183828,2987
ENSG00000183831,4476
ENSG00000183833,11622
ENSG00000183837,8210
ENSG00000183840,5482
ENSG00000183844,4617
ENSG00000183850,3351
ENSG00000183853,15611
ENSG00000183856,7952
ENSG00000183862,2828
ENSG00000183864,5110
ENSG00000183873,21113
ENSG00000183876,5008
ENSG00000183878,11898
ENSG00000183888,3037
ENSG00000183889,11147
ENSG00000183891,2990
ENSG00000183908,10607
ENSG00000183909,2658
ENSG00000183911,459
ENSG00000183914,19345
ENSG00000183918,7499
ENSG00000183921,2618
ENSG00000183929,1138
ENSG00000183935,5745
ENSG00000183938,365
ENSG00000183943,7141
ENSG00000183955,8043
ENSG00000183960,8537
ENSG00000183963,16242
ENSG00000183971,1144
ENSG00000183977,3976
ENSG00000183978,2149
ENSG00000183979,2726
ENSG00000183981,950
ENSG00000184005,7485
ENSG00000184007,15914
ENSG00000184009,13502
ENSG00000184012,7890
ENSG00000184014,14582
ENSG00000184022,4565
ENSG00000184029,2459
ENSG00000184032,413
ENSG00000184033,1741
ENSG00000184047,17661
ENSG00000184055,928
ENSG00000184056,6041
ENSG00000184058,5204
ENSG00000184060,8055
ENSG00000184068,2987
ENSG00000184076,1496
ENSG00000184083,11602
ENSG00000184084,303
ENSG00000184100,1943
ENSG00000184106,1069
ENSG00000184108,2675
ENSG00000184110,9555
ENSG00000184111,435
ENSG00000184113,8033
ENSG00000184115,6270
ENSG00000184117,3491
ENSG00000184139,570
ENSG00000184140,1236
ENSG00000184144,52921
ENSG00000184148,749
ENSG00000184154,22160
ENSG00000184155,929
ENSG00000184156,29999
ENSG00000184160,3739
ENSG00000184162,5945
ENSG00000184163,3430
ENSG00000184164,7478
ENSG00000184166,6141
ENSG00000184178,4629
ENSG00000184182,12219
ENSG00000184185,7334
ENSG00000184188,1099
ENSG00000184194,5361
ENSG00000184203,7580
ENSG00000184205,10365
ENSG00000184206,11103
ENSG00000184207,4065
ENSG00000184208,21176
ENSG00000184209,6651
ENSG00000184210,1705
ENSG00000184216,9406
ENSG00000184220,8713
ENSG00000184221,3390
ENSG00000184224,3552
ENSG00000184226,36955
ENSG00000184227,2749
ENSG00000184232,3538
ENSG00000184254,6285
ENSG00000184260,493
ENSG00000184261,14393
ENSG00000184270,496
ENSG00000184271,11482
ENSG00000184274,2320
ENSG00000184276,662
ENSG00000184277,17903
ENSG00000184281,9367
ENSG00000184292,1819
ENSG00000184293,2377
ENSG00000184302,2590
ENSG00000184303,1437
ENSG00000184304,8502
ENSG00000184305,12404
ENSG00000184307,18395
ENSG00000184313,13830
ENSG00000184319,8548
ENSG00000184321,950
ENSG00000184330,5046
ENSG00000184343,6748
ENSG00000184344,1234
ENSG00000184345,1130
ENSG00000184347,21284
ENSG00000184349,11868
ENSG00000184350,4106
ENSG00000184351,661
ENSG00000184357,796
ENSG00000184361,2965
ENSG00000184363,7588
ENSG00000184368,5466
ENSG00000184371,7661
ENSG00000184374,3595
ENSG00000184378,1669
ENSG00000184381,20390
ENSG00000184384,9952
ENSG00000184385,2139
ENSG00000184388,3167
ENSG00000184389,1018
ENSG00000184394,3110
ENSG00000184402,6102
ENSG00000184408,6237
ENSG00000184414,1005
ENSG00000184423,468
ENSG00000184428,10231
ENSG00000184432,10680
ENSG00000184434,3986
ENSG00000184436,8102
ENSG00000184441,4352
ENSG00000184445,14241
ENSG00000184451,4703
ENSG00000184454,4229
ENSG00000184459,2406
ENSG00000184465,23534
ENSG00000184470,15069
ENSG00000184471,4290
ENSG00000184478,8612
ENSG00000184481,4892
ENSG00000184486,4884
ENSG00000184489,4290
ENSG00000184492,2490
ENSG00000184494,8946
ENSG00000184497,7794
ENSG00000184500,12635
ENSG00000184502,462
ENSG00000184507,9234
ENSG00000184508,11240
ENSG00000184515,1635
ENSG00000184517,12973
ENSG00000184523,775
ENSG00000184524,2073
ENSG00000184530,1544
ENSG00000184544,1549
ENSG00000184545,5341
ENSG00000184557,3091
ENSG00000184560,2874
ENSG00000184564,7678
ENSG00000184566,2306
ENSG00000184571,5226
ENSG00000184574,3915
ENSG00000184575,8441
ENSG00000184584,25714
ENSG00000184588,19150
ENSG00000184599,1458
ENSG00000184601,5420
ENSG00000184602,3262
ENSG00000184608,2707
ENSG00000184611,5897
ENSG00000184612,753
ENSG00000184613,12555
ENSG00000184616,819
ENSG00000184617,1993
ENSG00000184619,13134
ENSG00000184624,1905
ENSG00000184634,9986
ENSG00000184635,7771
ENSG00000184640,32254
ENSG00000184647,3777
ENSG00000184650,3080
ENSG00000184659,2229
ENSG00000184661,5749
ENSG00000184669,3593
ENSG00000184672,10064
ENSG00000184675,8405
ENSG00000184677,14325
ENSG00000184678,2193
ENSG00000184697,2228
ENSG00000184698,6812
ENSG00000184702,10058
ENSG00000184708,10235
ENSG00000184709,1207
ENSG00000184716,5596
ENSG00000184719,5945
ENSG00000184724,499
ENSG00000184730,7280
ENSG00000184731,4897
ENSG00000184735,3629
ENSG00000184741,3938
ENSG00000184743,8418
ENSG00000184752,3371
ENSG00000184761,2143
ENSG00000184774,3941
ENSG00000184785,1482
ENSG00000184786,2860
ENSG00000184787,13270
ENSG00000184788,12154
ENSG00000184789,930
ENSG00000184792,18103
ENSG00000184795,696
ENSG00000184809,15886
ENSG00000184811,3585
ENSG00000184814,1895
ENSG00000184828,12352
ENSG00000184831,3622
ENSG00000184838,6405
ENSG00000184840,5688
ENSG00000184844,314
ENSG00000184845,4029
ENSG00000184856,1240
ENSG00000184857,1995
ENSG00000184860,13054
ENSG00000184863,23873
ENSG00000184867,7969
ENSG00000184887,6912
ENSG00000184895,827
ENSG00000184897,1515
ENSG00000184898,4749
ENSG00000184900,3561
ENSG00000184903,6801
ENSG00000184905,4529
ENSG00000184906,6043
ENSG00000184908,3539
ENSG00000184911,3286
ENSG00000184916,10863
ENSG00000184922,12233
ENSG00000184923,5786
ENSG00000184924,4560
ENSG00000184925,6162
ENSG00000184933,5665
ENSG00000184937,24409
ENSG00000184939,21207
ENSG00000184945,3409
ENSG00000184949,13575
ENSG00000184954,938
ENSG00000184956,9298
ENSG00000184961,580
ENSG00000184967,2739
ENSG00000184979,1847
ENSG00000184983,2607
ENSG00000184984,9054
ENSG00000184985,9924
ENSG00000184986,3427
ENSG00000184988,6266
ENSG00000184990,7629
ENSG00000184991,2336
ENSG00000184992,8506
ENSG00000184995,1474
ENSG00000184999,5754
ENSG00000185000,7333
ENSG00000185002,4493
ENSG00000185008,25035
ENSG00000185009,7281
ENSG00000185010,17056
ENSG00000185013,8255
ENSG00000185015,6428
ENSG00000185019,5151
ENSG00000185022,11817
ENSG00000185024,22055
ENSG00000185028,2568
ENSG00000185031,1479
ENSG00000185033,16655
ENSG00000185037,3072
ENSG00000185038,7191
ENSG00000185040,5873
ENSG00000185043,2233
ENSG00000185046,24192
ENSG00000185049,9353
ENSG00000185052,6081
ENSG00000185053,7600
ENSG00000185055,4301
ENSG00000185056,3665
ENSG00000185065,2095
ENSG00000185069,2520
ENSG00000185070,40108
ENSG00000185074,885
ENSG00000185078,570
ENSG00000185085,3283
ENSG00000185088,11703
ENSG00000185090,8755
ENSG00000185100,8876
ENSG00000185101,11599
ENSG00000185104,8032
ENSG00000185105,2449
ENSG00000185112,3154
ENSG00000185115,4833
ENSG00000185122,12457
ENSG00000185127,2666
ENSG00000185129,14709
ENSG00000185130,487
ENSG00000185133,9828
ENSG00000185149,7133
ENSG00000185155,3166
ENSG00000185156,2255
ENSG00000185158,19576
ENSG00000185163,10689
ENSG00000185164,10199
ENSG00000185168,2477
ENSG00000185176,5679
ENSG00000185177,4665
ENSG00000185182,3088
ENSG00000185186,4390
ENSG00000185187,9068
ENSG00000185189,16950
ENSG00000185198,1698
ENSG00000185201,2985
ENSG00000185203,1052
ENSG00000185215,9630
ENSG00000185219,30386
ENSG00000185220,5743
ENSG00000185221,982
ENSG00000185222,3659
ENSG00000185231,4224
ENSG00000185236,3180
ENSG00000185238,8439
ENSG00000185245,4848
ENSG00000185246,11090
ENSG00000185247,6259
ENSG00000185250,8843
ENSG00000185252,22315
ENSG00000185261,11359
ENSG00000185262,2322
ENSG00000185264,1999
ENSG00000185267,4089
ENSG00000185269,3758
ENSG00000185271,10550
ENSG00000185272,5178
ENSG00000185274,8267
ENSG00000185275,242
ENSG00000185278,21680
ENSG00000185290,618
ENSG00000185291,2079
ENSG00000185294,2186
ENSG00000185296,579
ENSG00000185298,4915
ENSG00000185303,3779
ENSG00000185304,7842
ENSG00000185305,9302
ENSG00000185306,6299
ENSG00000185313,11035
ENSG00000185319,242
ENSG00000185324,13775
ENSG00000185332,5198
ENSG00000185338,3028
ENSG00000185339,6521
ENSG00000185340,10062
ENSG00000185344,16224
ENSG00000185345,19530
ENSG00000185347,15246
ENSG00000185352,14874
ENSG00000185359,12446
ENSG00000185361,6901
ENSG00000185372,5858
ENSG00000185379,18557
ENSG00000185385,4879
ENSG00000185386,4659
ENSG00000185390,294
ENSG00000185404,8621
ENSG00000185414,7808
ENSG00000185418,6541
ENSG00000185420,8227
ENSG00000185432,11468
ENSG00000185433,10606
ENSG00000185436,6797
ENSG00000185437,2770
ENSG00000185442,7328
ENSG00000185448,5071
ENSG00000185453,5590
ENSG00000185467,1715
ENSG00000185475,3205
ENSG00000185477,20294
ENSG00000185479,2293
ENSG00000185480,9108
ENSG00000185482,4462
ENSG00000185483,11831
ENSG00000185485,5106
ENSG00000185495,6147
ENSG00000185499,10112
ENSG00000185504,10298
ENSG00000185507,9266
ENSG00000185513,50777
ENSG00000185515,10141
ENSG00000185518,24585
ENSG00000185519,2362
ENSG00000185522,4244
ENSG00000185523,503
ENSG00000185527,2005
ENSG00000185532,20124
ENSG00000185551,11501
ENSG00000185559,6931
ENSG00000185561,5880
ENSG00000185565,19875
ENSG00000185567,41390
ENSG00000185585,12180
ENSG00000185591,9101
ENSG00000185594,5082
ENSG00000185596,4029
ENSG00000185607,1123
ENSG00000185608,2873
ENSG00000185610,2802
ENSG00000185614,1031
ENSG00000185615,4798
ENSG00000185619,14340
ENSG00000185621,14824
ENSG00000185624,13130
ENSG00000185627,10420
ENSG00000185630,36556
ENSG00000185631,414
ENSG00000185633,5878
ENSG00000185634,9043
ENSG00000185638,550
ENSG00000185640,3770
ENSG00000185641,372
ENSG00000185650,11060
ENSG00000185651,3931
ENSG00000185652,4482
ENSG00000185658,24695
ENSG00000185662,2483
ENSG00000185664,9609
ENSG00000185666,12164
ENSG00000185668,2964
ENSG00000185669,1737
ENSG00000185670,6836
ENSG00000185674,2204
ENSG00000185681,1358
ENSG00000185684,21645
ENSG00000185686,9000
ENSG00000185689,8387
ENSG00000185697,8876
ENSG00000185700,704
ENSG00000185701,935
ENSG00000185710,7805
ENSG00000185716,8470
ENSG00000185721,3285
ENSG00000185722,23540
ENSG00000185728,17152
ENSG00000185730,8339
ENSG00000185736,13707
ENSG00000185737,10731
ENSG00000185739,6916
ENSG00000185742,5865
ENSG00000185745,8910
ENSG00000185753,10551
ENSG00000185758,662
ENSG00000185760,22144
ENSG00000185761,6135
ENSG00000185774,8908
ENSG00000185775,4916
ENSG00000185787,13082
ENSG00000185792,3862
ENSG00000185798,4251
ENSG00000185800,8001
ENSG00000185803,8772
ENSG00000185808,12190
ENSG00000185811,26674
ENSG00000185813,13336
ENSG00000185818,6053
ENSG00000185821,938
ENSG00000185823,7618
ENSG00000185825,7216
ENSG00000185829,7310
ENSG00000185834,496
ENSG00000185837,951
ENSG00000185838,9381
ENSG00000185839,689
ENSG00000185842,24468
ENSG00000185847,7722
ENSG00000185860,5558
ENSG00000185862,3529
ENSG00000185863,1608
ENSG00000185864,13212
ENSG00000185869,8961
ENSG00000185873,3779
ENSG00000185875,3865
ENSG00000185880,14924
ENSG00000185883,2265
ENSG00000185885,1962
ENSG00000185888,1262
ENSG00000185894,1985
ENSG00000185896,7786
ENSG00000185897,2979
ENSG00000185899,956
ENSG00000185900,3112
ENSG00000185903,922
ENSG00000185904,17857
ENSG00000185905,2567
ENSG00000185909,4250
ENSG00000185915,3640
ENSG00000185917,13415
ENSG00000185920,33566
ENSG00000185924,3612
ENSG00000185926,929
ENSG00000185933,3210
ENSG00000185940,932
ENSG00000185942,3736
ENSG00000185946,9523
ENSG00000185947,9552
ENSG00000185950,8154
ENSG00000185955,1556
ENSG00000185958,9339
ENSG00000185960,4744
ENSG00000185962,269
ENSG00000185963,9056
ENSG00000185966,617
ENSG00000185972,1946
ENSG00000185973,5854
ENSG00000185974,7705
ENSG00000185982,401
ENSG00000185985,16084
ENSG00000185986,3612
ENSG00000185988,6704
ENSG00000185989,4996
ENSG00000186001,17169
ENSG00000186007,1667
ENSG00000186008,749
ENSG00000186009,1493
ENSG00000186010,3960
ENSG00000186017,17652
ENSG00000186019,9310
ENSG00000186020,14742
ENSG00000186026,4331
ENSG00000186038,3573
ENSG00000186047,10824
ENSG00000186049,4544
ENSG00000186051,667
ENSG00000186056,7410
ENSG00000186063,6038
ENSG00000186073,28894
ENSG00000186074,5781
ENSG00000186075,3526
ENSG00000186076,764
ENSG00000186081,7138
ENSG00000186082,1249
ENSG00000186086,3138
ENSG00000186088,12539
ENSG00000186090,4054
ENSG00000186092,3668
ENSG00000186094,8387
ENSG00000186103,5144
ENSG00000186104,9793
ENSG00000186105,4029
ENSG00000186106,10412
ENSG00000186111,9116
ENSG00000186113,944
ENSG00000186115,5127
ENSG00000186118,3038
ENSG00000186119,990
ENSG00000186124,4081
ENSG00000186130,4097
ENSG00000186132,2271
ENSG00000186136,944
ENSG00000186141,5653
ENSG00000186143,3389
ENSG00000186146,211
ENSG00000186148,6560
ENSG00000186150,1504
ENSG00000186152,1363
ENSG00000186153,8565
ENSG00000186160,2602
ENSG00000186162,5632
ENSG00000186163,2568
ENSG00000186166,7828
ENSG00000186174,13667
ENSG00000186184,23761
ENSG00000186185,7039
ENSG00000186187,21338
ENSG00000186188,4660
ENSG00000186190,1439
ENSG00000186191,3581
ENSG00000186193,3808
ENSG00000186197,6838
ENSG00000186198,920
ENSG00000186204,10561
ENSG00000186205,11765
ENSG00000186207,858
ENSG00000186212,3992
ENSG00000186222,1490
ENSG00000186226,2036
ENSG00000186230,5902
ENSG00000186231,6695
ENSG00000186234,877
ENSG00000186235,8105
ENSG00000186244,371
ENSG00000186260,26842
ENSG00000186265,4519
ENSG00000186268,950
ENSG00000186272,9627
ENSG00000186280,7873
ENSG00000186281,9761
ENSG00000186283,5011
ENSG00000186288,2236
ENSG00000186297,7227
ENSG00000186298,12443
ENSG00000186300,10619
ENSG00000186301,2273
ENSG00000186306,944
ENSG00000186310,5201
ENSG00000186312,3802
ENSG00000186314,6709
ENSG00000186318,16370
ENSG00000186326,2452
ENSG00000186328,327
ENSG00000186329,3143
ENSG00000186334,5744
ENSG00000186335,6422
ENSG00000186340,11709
ENSG00000186350,12620
ENSG00000186352,3792
ENSG00000186364,2861
ENSG00000186367,2336
ENSG00000186369,7340
ENSG00000186376,11157
ENSG00000186377,2688
ENSG00000186393,1725
ENSG00000186395,2351
ENSG00000186399,4938
ENSG00000186407,4067
ENSG00000186409,65953
ENSG00000186416,11156
ENSG00000186417,15534
ENSG00000186431,5412
ENSG00000186432,9383
ENSG00000186439,11471
ENSG00000186440,4205
ENSG00000186442,2310
ENSG00000186446,4409
ENSG00000186448,17142
ENSG00000186451,2188
ENSG00000186452,4321
ENSG00000186453,3041
ENSG00000186458,2131
ENSG00000186462,2552
ENSG00000186466,1038
ENSG00000186468,9750
ENSG00000186469,15426
ENSG00000186470,15711
ENSG00000186471,1678
ENSG00000186472,29125
ENSG00000186474,3336
ENSG00000186479,5314
ENSG00000186480,8139
ENSG00000186481,8081
ENSG00000186487,134056
ENSG00000186493,3518
ENSG00000186496,10256
ENSG00000186501,10187
ENSG00000186508,902
ENSG00000186509,4618
ENSG00000186510,4113
ENSG00000186513,4856
ENSG00000186517,11853
ENSG00000186522,9460
ENSG00000186523,16190
ENSG00000186526,12445
ENSG00000186529,10816
ENSG00000186532,8707
ENSG00000186543,825
ENSG00000186562,327
ENSG00000186564,2647
ENSG00000186566,25832
ENSG00000186567,8359
ENSG00000186572,387
ENSG00000186575,17004
ENSG00000186577,5089
ENSG00000186579,334
ENSG00000186583,2863
ENSG00000186591,13008
ENSG00000186594,9576
ENSG00000186599,318
ENSG00000186603,1784
ENSG00000186615,11963
ENSG00000186625,3706
ENSG00000186628,7419
ENSG00000186635,14113
ENSG00000186638,6119
ENSG00000186642,14105
ENSG00000186645,4133
ENSG00000186648,8794
ENSG00000186652,4064
ENSG00000186654,12159
ENSG00000186660,5765
ENSG00000186665,6133
ENSG00000186666,4351
ENSG00000186675,2267
ENSG00000186676,1296
ENSG00000186678,310
ENSG00000186684,9749
ENSG00000186687,7103
ENSG00000186704,1625
ENSG00000186710,2532
ENSG00000186714,8614
ENSG00000186715,9188
ENSG00000186716,19149
ENSG00000186723,5495
ENSG00000186732,7013
ENSG00000186743,739
ENSG00000186765,3653
ENSG00000186766,3262
ENSG00000186767,4104
ENSG00000186777,2342
ENSG00000186787,4575
ENSG00000186788,4781
ENSG00000186790,1767
ENSG00000186792,4504
ENSG00000186795,1152
ENSG00000186803,962
ENSG00000186806,4582
ENSG00000186810,3472
ENSG00000186812,13633
ENSG00000186814,19947
ENSG00000186815,15995
ENSG00000186818,8443
ENSG00000186825,2228
ENSG00000186827,2730
ENSG00000186831,3086
ENSG00000186832,3525
ENSG00000186834,3624
ENSG00000186838,2709
ENSG00000186844,624
ENSG00000186847,2879
ENSG00000186854,11142
ENSG00000186860,798
ENSG00000186862,10621
ENSG00000186866,14400
ENSG00000186867,5325
ENSG00000186868,20114
ENSG00000186871,8374
ENSG00000186881,959
ENSG00000186886,3683
ENSG00000186889,6034
ENSG00000186891,2331
ENSG00000186895,2313
ENSG00000186897,2071
ENSG00000186907,2472
ENSG00000186908,11822
ENSG00000186910,1481
ENSG00000186912,1594
ENSG00000186918,8703
ENSG00000186919,6901
ENSG00000186924,295
ENSG00000186925,329
ENSG00000186930,312
ENSG00000186940,455
ENSG00000186943,962
ENSG00000186951,23841
ENSG00000186952,12504
ENSG00000186960,13471
ENSG00000186965,393
ENSG00000186967,341
ENSG00000186970,670
ENSG00000186971,796
ENSG00000186973,1632
ENSG00000186976,9861
ENSG00000186977,484
ENSG00000186980,210
ENSG00000186994,4787
ENSG00000186998,6791
ENSG00000187003,1490
ENSG00000187005,413
ENSG00000187010,5017
ENSG00000187012,2264
ENSG00000187013,1529
ENSG00000187017,12553
ENSG00000187021,11886
ENSG00000187024,7690
ENSG00000187026,465
ENSG00000187033,2875
ENSG00000187037,3719
ENSG00000187045,4783
ENSG00000187048,8274
ENSG00000187049,3224
ENSG00000187051,6381
ENSG00000187054,5706
ENSG00000187066,5932
ENSG00000187068,7157
ENSG00000187079,20486
ENSG00000187080,1153
ENSG00000187082,314
ENSG00000187091,7230
ENSG00000187094,2951
ENSG00000187097,10986
ENSG00000187098,14896
ENSG00000187103,532
ENSG00000187105,6227
ENSG00000187109,29106
ENSG00000187116,3412
ENSG00000187118,13598
ENSG00000187122,11221
ENSG00000187123,9410
ENSG00000187134,9912
ENSG00000187135,1483
ENSG00000187140,2561
ENSG00000187144,5645
ENSG00000187147,15193
ENSG00000187151,2588
ENSG00000187164,19036
ENSG00000187166,1299
ENSG00000187170,1057
ENSG00000187172,5060
ENSG00000187173,609
ENSG00000187175,587
ENSG00000187180,612
ENSG00000187185,2624
ENSG00000187186,2549
ENSG00000187187,17266
ENSG00000187189,4111
ENSG00000187191,4079
ENSG00000187193,2873
ENSG00000187210,15043
ENSG00000187223,623
ENSG00000187229,2051
ENSG00000187231,13901
ENSG00000187238,287
ENSG00000187239,8481
ENSG00000187240,19802
ENSG00000187242,3718
ENSG00000187243,10757
ENSG00000187244,7800
ENSG00000187257,9249
ENSG00000187258,3599
ENSG00000187260,6920
ENSG00000187266,8379
ENSG00000187268,10158
ENSG00000187272,1005
ENSG00000187288,3157
ENSG00000187323,22706
ENSG00000187325,3112
ENSG00000187372,5060
ENSG00000187391,54619
ENSG00000187398,18578
ENSG00000187416,2854
ENSG00000187446,5440
ENSG00000187472,248
ENSG00000187474,4845
ENSG00000187475,723
ENSG00000187479,2545
ENSG00000187481,1108
ENSG00000187483,2364
ENSG00000187486,6602
ENSG00000187492,4390
ENSG00000187498,21254
ENSG00000187504,745
ENSG00000187510,10258
ENSG00000187513,2607
ENSG00000187514,8522
ENSG00000187516,535
ENSG00000187522,2695
ENSG00000187527,7615
ENSG00000187531,15933
ENSG00000187533,12384
ENSG00000187534,441
ENSG00000187535,11249
ENSG00000187536,731
ENSG00000187537,3077
ENSG00000187545,1521
ENSG00000187546,3619
ENSG00000187550,3098
ENSG00000187553,6521
ENSG00000187554,14195
ENSG00000187555,13195
ENSG00000187556,2221
ENSG00000187559,2217
ENSG00000187566,2237
ENSG00000187569,1096
ENSG00000187581,540
ENSG00000187583,5046
ENSG00000187589,1211
ENSG00000187595,7839
ENSG00000187600,2081
ENSG00000187601,1439
ENSG00000187605,15562
ENSG00000187607,21513
ENSG00000187608,1432
ENSG00000187609,9095
ENSG00000187612,932
ENSG00000187616,1091
ENSG00000187621,15027
ENSG00000187624,4698
ENSG00000187626,5341
ENSG00000187627,7965
ENSG00000187630,5414
ENSG00000187634,8354
ENSG00000187642,6384
ENSG00000187650,2238
ENSG00000187653,134
ENSG00000187657,908
ENSG00000187658,718
ENSG00000187664,4583
ENSG00000187672,14178
ENSG00000187676,4617
ENSG00000187678,14327
ENSG00000187682,2089
ENSG00000187686,4566
ENSG00000187688,4802
ENSG00000187689,1208
ENSG00000187690,1895
