,exon_chrom_end
ENSG00000207289,21307855
ENSG00000243957,78115457
ENSG00000212396,93510680
ENSG00000251720,63536770
ENSG00000206722,139256760
ENSG00000241223,3571511
ENSG00000222314,38423728
ENSG00000277707,54115923
ENSG00000277469,27202638
ENSG00000199975,73832690
ENSG00000265325,31580638
ENSG00000252273,16035509
ENSG00000240098,126245282
ENSG00000201012,135474609
ENSG00000238560,76523706
ENSG00000222255,101765509
ENSG00000252444,106304286
ENSG00000239129,29883109
ENSG00000222806,153420572
ENSG00000199552,40655094
ENSG00000252856,48206374
ENSG00000266210,30918735
ENSG00000207306,48196786
ENSG00000266464,33370056
ENSG00000212541,37991569
ENSG00000252214,74319501
ENSG00000251955,17187616
ENSG00000281295,33704922
ENSG00000222385,28261519
ENSG00000207163,14531088
ENSG00000199327,125119200
ENSG00000252980,44071186
ENSG00000206918,57512555
ENSG00000238923,6943878
ENSG00000206659,175022580
ENSG00000238324,102857755
ENSG00000266759,31650811
ENSG00000242315,100958180
ENSG00000206917,58677737
ENSG00000223341,45061086
ENSG00000207007,70852240
ENSG00000242853,119213146
ENSG00000251717,35753930
ENSG00000252556,122004451
ENSG00000241631,30702775
ENSG00000199331,109042487
ENSG00000274841,137638408
ENSG00000199900,7887096
ENSG00000264704,32518174
ENSG00000251714,182631688
ENSG00000206957,44697430
ENSG00000222921,134231312
ENSG00000263598,28915906
ENSG00000199837,182944490
ENSG00000206747,68539549
ENSG00000239197,92417689
ENSG00000252182,35747140
ENSG00000202495,50171297
ENSG00000242483,11379675
ENSG00000222920,51027852
ENSG00000277994,53966061
ENSG00000277263,32447105
ENSG00000222747,21369899
ENSG00000251705,10200306
ENSG00000207379,93385817
ENSG00000202285,106739054
ENSG00000200926,111091332
ENSG00000277809,44935908
ENSG00000265138,30123286
ENSG00000202279,136816574
ENSG00000241172,18958258
ENSG00000275680,58951513
ENSG00000277653,22117814
ENSG00000212528,25268551
ENSG00000278007,4127732
ENSG00000201560,65859766
ENSG00000265326,28977740
ENSG00000202337,32203269
ENSG00000276220,54102942
ENSG00000277524,136134035
ENSG00000252667,18348147
ENSG00000251727,93843862
ENSG00000277567,54869016
ENSG00000238924,163470266
ENSG00000199755,67340176
ENSG00000206920,51586532
ENSG00000252947,27834566
ENSG00000201444,117708102
ENSG00000201229,183451988
ENSG00000221116,2654286
ENSG00000252595,42892618
ENSG00000242560,96282863
ENSG00000252411,35594273
ENSG00000237611,7240018
ENSG00000221475,52190748
ENSG00000252028,177503552
ENSG00000243136,35672044
ENSG00000242348,1666640
ENSG00000276525,10026168
ENSG00000212325,100398446
ENSG00000199934,85592356
ENSG00000199286,96608917
ENSG00000238902,192534112
ENSG00000201279,3663911
ENSG00000239023,16719157
ENSG00000276757,11012006
ENSG00000200267,73113018
ENSG00000238669,53138651
ENSG00000212425,137512210
ENSG00000252627,123874565
ENSG00000222889,69700495
ENSG00000274868,8388987
ENSG00000212296,40832735
ENSG00000238609,106282989
ENSG00000201113,32214562
ENSG00000265918,67019817
ENSG00000207161,147472243
ENSG00000212242,136630355
ENSG00000239069,74895917
ENSG00000206963,126702942
ENSG00000212535,95290799
ENSG00000235284,131485750
ENSG00000252220,83021992
ENSG00000264862,31518729
ENSG00000201588,228612627
ENSG00000264530,6542353
ENSG00000200547,116452627
ENSG00000201604,90922835
ENSG00000276873,39171560
ENSG00000252684,76948870
ENSG00000207197,25077142
ENSG00000207286,25287533
ENSG00000201041,128697556
ENSG00000278135,25250639
ENSG00000200814,62334197
ENSG00000252621,37303109
ENSG00000272096,155437823
ENSG00000199585,211535769
ENSG00000283564,72376760
ENSG00000242493,37246479
ENSG00000199135,65058508
ENSG00000207041,141118136
ENSG00000276599,35746636
ENSG00000277785,25088895
ENSG00000207386,206025697
ENSG00000274175,17501
ENSG00000211543,116671827
ENSG00000207115,96341246
ENSG00000252282,245023118
ENSG00000251988,159720540
ENSG00000264493,1859536
ENSG00000251774,12514807
ENSG00000266627,3920506
ENSG00000199851,28015777
ENSG00000206647,10155206
ENSG00000201034,439397
ENSG00000275689,21126396
ENSG00000252625,25929142
ENSG00000276222,46226841
ENSG00000280773,104252651
ENSG00000252555,60018731
ENSG00000222267,20229877
ENSG00000199936,85460252
ENSG00000223274,1300375
ENSG00000241834,41840339
ENSG00000212568,66891291
ENSG00000266689,32511094
ENSG00000274806,70194830
ENSG00000200503,25178819
ENSG00000207994,122152308
ENSG00000273728,1105573
ENSG00000252993,92076365
ENSG00000222327,112137900
ENSG00000264293,1405752
ENSG00000221102,91126553
ENSG00000266043,1660380
ENSG00000202414,25214798
ENSG00000252291,6061749
ENSG00000222608,52665347
ENSG00000202224,2621201
ENSG00000276800,21464279
ENSG00000201184,103567545
ENSG00000201595,51694582
ENSG00000273940,61789426
ENSG00000221539,28578822
ENSG00000252640,68630968
ENSG00000251822,60363935
ENSG00000283614,51314107
ENSG00000207047,206161957
ENSG00000238653,64384459
ENSG00000277565,63549284
ENSG00000244307,144785588
ENSG00000212498,2656182
ENSG00000253020,174632064
ENSG00000221355,16282088
ENSG00000206818,79912208
ENSG00000238832,107603507
ENSG00000277055,46166022
ENSG00000207326,246426119
ENSG00000280454,54114878
ENSG00000277771,49846720
ENSG00000200222,64072019
ENSG00000275588,64817675
ENSG00000278670,55043883
ENSG00000212144,234593402
ENSG00000251783,42605263
ENSG00000273627,38719748
ENSG00000240533,6095970
ENSG00000278454,134600336
ENSG00000252040,68630354
ENSG00000252247,27343746
ENSG00000214305,39161520
ENSG00000202041,240154772
ENSG00000207624,220118241
ENSG00000252423,69401303
ENSG00000284144,40162001
ENSG00000239884,2681236
ENSG00000201134,151841837
ENSG00000201668,49871666
ENSG00000252003,122081781
ENSG00000275868,23419190
ENSG00000277761,1167469
ENSG00000199245,88430550
ENSG00000252720,93437510
ENSG00000200281,228169849
ENSG00000265031,64425170
ENSG00000264840,64871784
ENSG00000201321,228628266
ENSG00000276159,54063953
ENSG00000199077,43581483
ENSG00000253093,16854114
ENSG00000273538,32079289
ENSG00000222407,231281524
ENSG00000278775,8433174
ENSG00000283927,21825785
ENSG00000207712,42199666
ENSG00000200687,19401981
ENSG00000207415,9287578
ENSG00000201221,35887801
ENSG00000200259,49491260
ENSG00000200355,172771405
ENSG00000252122,75409466
ENSG00000266004,31605384
ENSG00000265390,8389380
ENSG00000277818,79562846
ENSG00000263512,66040332
ENSG00000202523,83993033
ENSG00000277194,62853035
ENSG00000200665,116082676
ENSG00000274417,12940540
ENSG00000264796,89884030
ENSG00000276014,36110447
ENSG00000278374,123455107
ENSG00000222068,133391398
ENSG00000201876,73968206
ENSG00000222355,53776324
ENSG00000202187,28505528
ENSG00000207821,19435158
ENSG00000283301,6655502
ENSG00000276253,30361438
ENSG00000268674,35916
ENSG00000266653,32145636
ENSG00000271907,115126444
ENSG00000275041,100898136
ENSG00000276919,100829454
ENSG00000240977,139982986
ENSG00000207631,40282641
ENSG00000264999,46973100
ENSG00000244169,1065875
ENSG00000222985,65124542
ENSG00000199626,187270804
ENSG00000278783,85783677
ENSG00000251854,149779108
ENSG00000240663,50207278
ENSG00000266146,13460026
ENSG00000275415,30026276
ENSG00000207190,64029000
ENSG00000199459,85435284
ENSG00000274390,6389703
ENSG00000265965,109313625
ENSG00000212184,201927543
ENSG00000223003,56146846
ENSG00000222351,122946094
ENSG00000207154,51283896
ENSG00000207645,53666762
ENSG00000251719,29048719
ENSG00000278420,36286907
ENSG00000201096,75604278
ENSG00000202142,100975896
ENSG00000221288,132257080
ENSG00000206931,150701972
ENSG00000277086,31142971
ENSG00000275605,54102942
ENSG00000206774,80365832
ENSG00000263631,5923328
ENSG00000243274,76135225
ENSG00000275458,217900628
ENSG00000200113,37419767
ENSG00000202499,25236166
ENSG00000284253,116299768
ENSG00000200051,140527428
ENSG00000266191,28978689
ENSG00000284448,33550728
ENSG00000252272,29001775
ENSG00000276760,167567
ENSG00000265727,74242908
ENSG00000276350,154450386
ENSG00000199514,38303879
ENSG00000207200,63970576
ENSG00000284266,37988853
ENSG00000221245,119569825
ENSG00000238741,160515236
ENSG00000216058,189830009
ENSG00000201807,136855831
ENSG00000273710,28915864
ENSG00000252696,90135841
ENSG00000252101,75286800
ENSG00000207732,20528384
ENSG00000222205,57126762
ENSG00000199862,127028219
ENSG00000276713,62244595
ENSG00000208892,132031359
ENSG00000273942,97492597
ENSG00000198995,180015397
ENSG00000240964,78938292
ENSG00000252941,47804402
ENSG00000206587,67895737
ENSG00000206729,55789474
ENSG00000284427,44254285
ENSG00000223263,67417318
ENSG00000283477,43838683
ENSG00000207656,93484019
ENSG00000275249,373405
ENSG00000265815,52940413
ENSG00000202059,203052418
ENSG00000202270,100969022
ENSG00000201920,41718260
ENSG00000275633,54709099
ENSG00000221510,102405855
ENSG00000280004,102187039
ENSG00000265351,32328503
ENSG00000264553,150552014
ENSG00000252094,35746094
ENSG00000274076,32446964
ENSG00000207804,99536730
ENSG00000206646,68361187
ENSG00000211581,156936244
ENSG00000265606,18883275
ENSG00000243671,68694081
ENSG00000265599,100382845
ENSG00000201457,39567508
ENSG00000284443,109598967
ENSG00000201999,66301940
ENSG00000283699,12653197
ENSG00000266300,31904165
ENSG00000252249,93879229
ENSG00000199059,205448398
ENSG00000284195,35710741
ENSG00000201298,134701278
ENSG00000284204,91350972
ENSG00000207090,121195057
ENSG00000182584,33668525
ENSG00000263744,70872368
ENSG00000271886,53556341
ENSG00000263537,110625917
ENSG00000202512,109699834
ENSG00000265768,93948302
ENSG00000199753,64146152
ENSG00000264211,118910787
ENSG00000200209,38294636
ENSG00000283694,153981176
ENSG00000274626,54201503
ENSG00000207942,100884783
ENSG00000252784,63338372
ENSG00000252523,143754730
ENSG00000221604,50234212
ENSG00000251922,6017194
ENSG00000280836,45581321
ENSG00000277776,54955210
ENSG00000276339,54799053
ENSG00000244568,184335949
ENSG00000283487,96427292
ENSG00000265612,105857572
ENSG00000241992,96583527
ENSG00000252491,26790286
ENSG00000252654,51905030
ENSG00000263629,59647020
ENSG00000264024,105858175
ENSG00000206624,178884879
ENSG00000206749,57806260
ENSG00000264210,49169153
ENSG00000274873,54173691
ENSG00000274574,144560831
ENSG00000207044,112196546
ENSG00000277391,74411432
ENSG00000207518,21551410
ENSG00000265373,16309966
ENSG00000200840,28232607
ENSG00000207218,41857372
ENSG00000275101,89326810
ENSG00000200024,87744053
ENSG00000274472,154705727
ENSG00000206877,24537438
ENSG00000283819,28861618
ENSG00000275979,54138455
ENSG00000200552,102336970
ENSG00000275915,11847549
ENSG00000265537,14911313
ENSG00000284399,30117160
ENSG00000265223,32441699
ENSG00000206787,18880157
ENSG00000263527,13611200
ENSG00000263602,48724475
ENSG00000277607,54063953
ENSG00000238707,56596031
ENSG00000201109,130027397
ENSG00000242673,131004429
ENSG00000284574,82236728
ENSG00000199497,31901426
ENSG00000207599,53675797
ENSG00000207071,45188896
ENSG00000283389,121897826
ENSG00000223258,43207866
ENSG00000283928,3961512
ENSG00000207825,53695293
ENSG00000277828,99357957
ENSG00000272507,12116379
ENSG00000265137,18470691
ENSG00000252955,72965303
ENSG00000207946,53736934
ENSG00000252764,100683574
ENSG00000221091,50614785
ENSG00000202141,183022971
ENSG00000199095,53787956
ENSG00000274906,148437045
ENSG00000274568,22429489
ENSG00000243847,23997085
ENSG00000266463,63238842
ENSG00000263881,110284943
ENSG00000201772,45105042
ENSG00000266299,13644850
ENSG00000201482,25201404
ENSG00000275877,30485076
ENSG00000207497,185709967
ENSG00000276169,41169078
ENSG00000222583,192093436
ENSG00000265859,131985931
ENSG00000212305,12297504
ENSG00000283152,172138888
ENSG00000239043,45110968
ENSG00000201253,73191667
ENSG00000264462,8987178
ENSG00000263445,76573632
ENSG00000242020,141479625
ENSG00000222736,16875267
ENSG00000276961,133046581
ENSG00000207815,15873849
ENSG00000265986,196582481
ENSG00000240863,58199836
ENSG00000274771,54855235
ENSG00000207092,9250211
ENSG00000264158,92528058
ENSG00000277723,134367862
ENSG00000266569,72823171
ENSG00000221063,63373048
ENSG00000251975,120337653
ENSG00000207758,50003238
ENSG00000283555,109874018
ENSG00000199709,122927173
ENSG00000265699,58530109
ENSG00000283656,113778054
ENSG00000266875,134133868
ENSG00000199240,43196536
ENSG00000252957,100074190
ENSG00000277912,181043484
ENSG00000265140,113450088
ENSG00000221038,31563894
ENSG00000201752,116839385
ENSG00000221673,219962865
ENSG00000221046,45778823
ENSG00000207775,18571880
ENSG00000265816,32027085
ENSG00000266431,53948484
ENSG00000277306,140234923
ENSG00000277108,16439576
ENSG00000202164,208920664
ENSG00000276712,35470579
ENSG00000265154,100109514
ENSG00000252352,69355218
ENSG00000265052,67977972
ENSG00000200294,72180989
ENSG00000266760,90312833
ENSG00000244107,54420725
ENSG00000240733,36451201
ENSG00000283556,101040535
ENSG00000274703,54102740
ENSG00000238344,20326526
ENSG00000222842,17123140
ENSG00000264610,98431360
ENSG00000276137,133290988
ENSG00000264909,32479887
ENSG00000277014,18494576
ENSG00000199704,25223327
ENSG00000265535,59975054
ENSG00000276309,68970752
ENSG00000200681,18307079
ENSG00000276639,45691776
ENSG00000221753,100024084
ENSG00000208772,86136006
ENSG00000283160,8187004
ENSG00000238765,148193838
ENSG00000277892,61878278
ENSG00000207839,17813931
ENSG00000252923,196686330
ENSG00000207453,7486809
ENSG00000276152,30951821
ENSG00000275405,22024
ENSG00000284565,28861440
ENSG00000251865,58835994
ENSG00000263838,47187891
ENSG00000207271,36626138
ENSG00000277196,161852
ENSG00000251957,11923288
ENSG00000241037,122087811
ENSG00000274050,54982262
ENSG00000284595,75498628
ENSG00000201811,38442169
ENSG00000275967,124337242
ENSG00000276886,32798468
ENSG00000200648,175704004
ENSG00000253066,114111517
ENSG00000252228,30132966
ENSG00000284216,1816238
ENSG00000251756,51692861
ENSG00000198982,101025077
ENSG00000223046,101836927
ENSG00000251920,125979934
ENSG00000202431,34297598
ENSG00000206869,164687777
ENSG00000207550,51692681
ENSG00000207934,101040299
ENSG00000276735,193237107
ENSG00000280904,52688961
ENSG00000207173,58083168
ENSG00000274380,52222098
ENSG00000206844,9874701
ENSG00000276311,16368942
ENSG00000201519,15324472
ENSG00000277395,36491694
ENSG00000276363,54063953
ENSG00000207435,3572961
ENSG00000252283,28062068
ENSG00000266761,51452977
ENSG00000222627,128075249
ENSG00000283721,40026409
ENSG00000277385,38281289
ENSG00000275551,54102740
ENSG00000252886,119631386
ENSG00000274847,115055
ENSG00000221120,184241489
ENSG00000207776,3560790
ENSG00000239053,10744249
ENSG00000206897,123616840
ENSG00000263409,4932740
ENSG00000275287,388389
ENSG00000252364,41658793
ENSG00000283664,89063410
ENSG00000263790,20411238
ENSG00000238917,7576952
ENSG00000275640,10829035
ENSG00000201447,77066827
ENSG00000278101,57301413
ENSG00000207366,48341332
ENSG00000265347,93819421
ENSG00000263693,48096858
ENSG00000199691,38761842
ENSG00000284034,35345627
ENSG00000212189,7004112
ENSG00000221676,134164564
ENSG00000239057,50010750
ENSG00000266663,61199880
ENSG00000267954,23783958
ENSG00000207773,45675024
ENSG00000199872,26042781
ENSG00000244521,47459234
ENSG00000264866,28977759
ENSG00000264850,41866551
ENSG00000207820,74287209
ENSG00000278328,55239976
ENSG00000221533,154887458
ENSG00000265991,30875323
ENSG00000251789,223373956
ENSG00000252244,149517017
ENSG00000274941,54138455
ENSG00000266195,17506728
ENSG00000207548,55983076
ENSG00000278118,30556202
ENSG00000238904,118758274
ENSG00000221698,13543646
ENSG00000275006,38089500
ENSG00000206725,229973421
ENSG00000202392,6997328
ENSG00000266078,60387445
ENSG00000206634,65755659
ENSG00000275238,38702331
ENSG00000263638,31747810
ENSG00000244139,120122206
ENSG00000276323,54115801
ENSG00000265252,219549147
ENSG00000284411,47227019
ENSG00000222792,198196849
ENSG00000201919,21987919
ENSG00000252377,51870809
ENSG00000264887,31855201
ENSG00000252995,79817450
ENSG00000212489,190165523
ENSG00000266104,63286866
ENSG00000207738,53707539
ENSG00000202081,85651628
ENSG00000278702,35400319
ENSG00000252267,26390776
ENSG00000252889,109225227
ENSG00000252125,107133170
ENSG00000251997,50319120
ENSG00000207653,32532246
ENSG00000264084,85385792
ENSG00000206811,1962466
ENSG00000243075,50841785
ENSG00000264975,52702615
ENSG00000252202,179847130
ENSG00000207651,188688866
ENSG00000252713,73507274
ENSG00000276706,144705419
ENSG00000201433,183675715
ENSG00000201036,100979090
ENSG00000207798,55989059
ENSG00000283420,6827921
ENSG00000240641,51975959
ENSG00000207426,96701619
ENSG00000252353,3093629
ENSG00000238391,74487540
ENSG00000265889,36285413
ENSG00000221502,188978161
ENSG00000273945,35732995
ENSG00000212493,52689315
ENSG00000279049,54100224
ENSG00000243439,1507598
ENSG00000281420,43748468
ENSG00000221585,47849629
ENSG00000252840,151527938
ENSG00000283941,123111643
ENSG00000222448,179846152
ENSG00000252371,238325788
ENSG00000277721,46553775
ENSG00000207940,112112898
ENSG00000278756,136746970
ENSG00000207607,1167952
ENSG00000207073,49566772
ENSG00000273748,83311
ENSG00000239577,72199050
ENSG00000206784,37322371
ENSG00000264986,125151552
ENSG00000206603,56055502
ENSG00000208005,134546398
ENSG00000206699,99527927
ENSG00000265596,38089329
ENSG00000222361,98074763
ENSG00000266555,138435294
ENSG00000206758,48793258
ENSG00000252823,89754152
ENSG00000275606,29064138
ENSG00000216056,146027872
ENSG00000201542,35310425
ENSG00000283876,209623510
ENSG00000252996,2954338
ENSG00000283710,127796028
ENSG00000252510,116962471
ENSG00000281228,67616932
ENSG00000284586,155195272
ENSG00000251768,127317973
ENSG00000264090,29574358
ENSG00000275161,100816244
ENSG00000283558,101601497
ENSG00000252431,151280612
ENSG00000242216,25818532
ENSG00000199712,25172716
ENSG00000206949,66501311
ENSG00000221406,224257141
ENSG00000212586,38822404
ENSG00000263540,46753192
ENSG00000284360,62260454
ENSG00000274216,37216898
ENSG00000264500,248826443
ENSG00000240750,28032180
ENSG00000207137,25079149
ENSG00000207499,106420807
ENSG00000239822,430504
ENSG00000284425,123364843
ENSG00000264032,111347824
ENSG00000251729,97472252
ENSG00000264102,46376484
ENSG00000252148,201079944
ENSG00000212146,196341715
ENSG00000200338,41772103
ENSG00000284122,21023386
ENSG00000223336,46374590
ENSG00000264153,31613436
ENSG00000199104,86264788
ENSG00000199088,101022132
ENSG00000281842,48654530
ENSG00000252509,72357815
ENSG00000212628,121083813
ENSG00000201548,88585733
ENSG00000222693,25089151
ENSG00000272458,100884576
ENSG00000283621,57748682
ENSG00000200443,27035991
ENSG00000207743,101033836
ENSG00000277202,36972901
ENSG00000206705,136130081
ENSG00000265955,30725938
ENSG00000199475,97599260
ENSG00000251985,45624632
ENSG00000283793,112163321
ENSG00000200827,12098532
ENSG00000277243,21406459
ENSG00000265871,90006841
ENSG00000202538,120291903
ENSG00000238444,112032598
ENSG00000278223,44934681
ENSG00000207167,19012263
ENSG00000265993,67441930
ENSG00000201165,65023310
ENSG00000199683,37975481
ENSG00000239118,70030422
ENSG00000238317,202293134
ENSG00000207187,30187566
ENSG00000275449,101973591
ENSG00000207766,41691678
ENSG00000202021,75326060
ENSG00000239112,9548905
ENSG00000278378,54102740
ENSG00000221540,19344574
ENSG00000252760,111041925
ENSG00000212135,46762499
ENSG00000201896,119712145
ENSG00000265331,69099656
ENSG00000283891,55373034
ENSG00000283290,24352157
ENSG00000275360,76098076
ENSG00000201407,24133317
ENSG00000273500,49288454
ENSG00000200538,48382586
ENSG00000272215,111564883
ENSG00000278218,11148769
ENSG00000207695,79209871
ENSG00000206625,67840045
ENSG00000221025,81133308
ENSG00000251972,25943145
ENSG00000221634,85770578
ENSG00000276221,26591535
ENSG00000202227,48502024
ENSG00000199875,93719715
ENSG00000263849,49049768
ENSG00000207364,37331876
ENSG00000266226,42133513
ENSG00000266870,28916602
ENSG00000222375,29731404
ENSG00000284346,2271840
ENSG00000251934,3714875
ENSG00000207524,88684954
ENSG00000284394,49888230
ENSG00000284184,15611095
ENSG00000284268,10403538
ENSG00000242430,14602094
ENSG00000274321,88520170
ENSG00000199856,7995785
ENSG00000206871,36309690
ENSG00000222451,90163960
ENSG00000265879,10780335
ENSG00000264314,42494830
ENSG00000266649,69103755
ENSG00000278144,65423392
ENSG00000207711,53697617
ENSG00000239180,70311701
ENSG00000272445,76557754
ENSG00000278793,127946
ENSG00000284031,19963834
ENSG00000252053,194533583
ENSG00000283492,11654941
ENSG00000206848,42664268
ENSG00000252290,237555171
ENSG00000265407,49308868
ENSG00000276917,79866583
ENSG00000202217,74800222
ENSG00000207575,21034272
ENSG00000284553,11113534
ENSG00000239744,30555904
ENSG00000275030,66142327
ENSG00000207243,178656
ENSG00000278421,74274411
ENSG00000283506,140586685
ENSG00000275355,76841102
ENSG00000264141,31160119
ENSG00000251838,37702220
ENSG00000264175,18386634
ENSG00000278028,41672406
ENSG00000283540,53682245
ENSG00000207425,14915556
ENSG00000199740,50940026
ENSG00000266415,9053895
ENSG00000265409,31744429
ENSG00000264979,110086523
ENSG00000277824,54913916
ENSG00000242860,62072741
ENSG00000208023,20033220
ENSG00000264030,10280891
ENSG00000207728,55170742
ENSG00000264960,32579395
ENSG00000207979,53754102
ENSG00000263973,40212431
ENSG00000252850,88581796
ENSG00000274459,68576136
ENSG00000240322,143298814
ENSG00000266750,2854107
ENSG00000199870,75353986
ENSG00000283733,160485450
ENSG00000209480,39313911
ENSG00000266666,57321591
ENSG00000266329,176629500
ENSG00000207381,54317887
ENSG00000207769,45197770
ENSG00000207171,168471539
ENSG00000278519,54190480
ENSG00000264814,154853436
ENSG00000265724,73711397
ENSG00000207352,65604761
ENSG00000201300,25220578
ENSG00000263410,77885634
ENSG00000201550,131092927
ENSG00000207363,107901246
ENSG00000276580,6622220
ENSG00000264633,49274186
ENSG00000201922,103160124
ENSG00000212330,102501779
ENSG00000264494,72697978
ENSG00000207597,136903294
ENSG00000252965,125528349
ENSG00000207122,39081285
ENSG00000207600,11035302
ENSG00000252259,63186450
ENSG00000251828,80306368
ENSG00000252264,14319516
ENSG00000284032,130876810
ENSG00000252034,46077099
ENSG00000276622,151522148
ENSG00000274344,117117983
ENSG00000265465,17425954
ENSG00000206939,70808452
ENSG00000222213,149606741
ENSG00000199153,134804945
ENSG00000252137,75593145
ENSG00000201965,38125394
ENSG00000264788,29957348
ENSG00000207800,138667793
ENSG00000263442,31531927
ENSG00000223152,66094546
ENSG00000251935,190553480
ENSG00000275644,54102740
ENSG00000264408,61714859
ENSG00000238713,145149649
ENSG00000223012,86258646
ENSG00000252583,147250230
ENSG00000275229,149700296
ENSG00000212017,57390212
ENSG00000199806,36852028
ENSG00000252652,43331356
ENSG00000207021,81573602
ENSG00000238379,128445198
ENSG00000254324,140732653
ENSG00000239471,20096029
ENSG00000277027,35658017
ENSG00000200444,83824953
ENSG00000222328,62841809
ENSG00000264773,30739232
ENSG00000238694,34966344
ENSG00000199881,92272250
ENSG00000202361,61874182
ENSG00000207864,95085541
ENSG00000277629,54939367
ENSG00000252263,70496210
ENSG00000221520,92204098
ENSG00000239547,17353177
ENSG00000207162,64671369
ENSG00000265872,134849564
ENSG00000266886,31360340
ENSG00000277051,45847940
ENSG00000201465,138188129
ENSG00000221680,193136583
ENSG00000266128,163840852
ENSG00000251823,228558339
ENSG00000212398,223690114
ENSG00000275669,1256670
ENSG00000201643,75943916
ENSG00000206604,142145555
ENSG00000275110,109054590
ENSG00000283172,123348130
ENSG00000212199,131229713
ENSG00000277942,113262999
ENSG00000243845,125513207
ENSG00000277845,143542398
ENSG00000284525,3856141
ENSG00000238304,3781456
ENSG00000212539,56957469
ENSG00000207367,48777071
ENSG00000200175,150812698
ENSG00000222122,115032533
ENSG00000266119,30726268
ENSG00000276722,58842546
ENSG00000263890,97995448
ENSG00000253060,171768175
ENSG00000207742,101052525
ENSG00000252188,138625179
ENSG00000200162,153607479
ENSG00000223220,70781008
ENSG00000222404,157299158
ENSG00000221740,22856686
ENSG00000263735,124822058
ENSG00000266052,87618740
ENSG00000251728,140094792
ENSG00000206730,17578739
ENSG00000271982,49491729
ENSG00000200183,50657078
ENSG00000223087,31662143
ENSG00000201216,102950564
ENSG00000265165,26908725
ENSG00000212136,37045636
ENSG00000278482,117191761
ENSG00000277553,27206303
ENSG00000274122,28387417
ENSG00000264722,16306434
ENSG00000208001,100881120
ENSG00000266646,31531441
ENSG00000274655,73821724
ENSG00000216099,101047979
ENSG00000275724,54102942
ENSG00000266426,76869019
ENSG00000266291,18402271
ENSG00000283845,28844007
ENSG00000283774,32350202
ENSG00000239419,143290910
ENSG00000252934,54167007
ENSG00000274617,32363059
ENSG00000212561,44066731
ENSG00000252774,64342698
ENSG00000199260,129203070
ENSG00000199404,152593091
ENSG00000263456,88469031
ENSG00000223327,80585773
ENSG00000251858,41594591
ENSG00000202144,19376875
ENSG00000222405,70443923
ENSG00000253058,31963933
ENSG00000201950,100945720
ENSG00000284453,21829088
ENSG00000210181,36968316
ENSG00000274747,18840920
ENSG00000207483,28668025
ENSG00000202368,96979629
ENSG00000264468,6655509
ENSG00000200527,49946389
ENSG00000274309,38448215
ENSG00000275975,71368968
ENSG00000284027,7018022
ENSG00000199859,157201668
ENSG00000284331,22933438
ENSG00000200550,42712847
ENSG00000201028,111650537
ENSG00000223062,27824643
ENSG00000252338,75538119
ENSG00000199849,164351388
ENSG00000212441,40234029
ENSG00000207378,98463050
ENSG00000199994,151188223
ENSG00000253088,152402893
ENSG00000272469,73834042
ENSG00000283950,6736778
ENSG00000200560,63573345
ENSG00000277759,39829802
ENSG00000207976,96828764
ENSG00000206887,224305483
ENSG00000277533,42351205
ENSG00000223202,74685505
ENSG00000265559,47557833
ENSG00000200651,77442213
ENSG00000251946,54786492
ENSG00000222363,29388683
ENSG00000243015,93509768
ENSG00000265105,29747922
ENSG00000196274,76230390
ENSG00000212190,30861938
ENSG00000211997,79402109
ENSG00000199017,62554376
ENSG00000275924,58550376
ENSG00000277732,134598518
ENSG00000251923,55798731
ENSG00000264384,154166549
ENSG00000252339,71563528
ENSG00000275981,4750685
ENSG00000202347,113479078
ENSG00000242281,129370461
ENSG00000273946,87154369
ENSG00000277986,231711647
ENSG00000283857,101560422
ENSG00000284079,207754881
ENSG00000202157,83803685
ENSG00000222107,125351131
ENSG00000283513,63919632
ENSG00000276844,25266661
ENSG00000220988,50802418
ENSG00000265734,213758159
ENSG00000253022,6540964
ENSG00000252750,112634784
ENSG00000202017,60304151
ENSG00000274293,38150138
ENSG00000283575,180758817
ENSG00000207172,63630781
ENSG00000221065,34528371
ENSG00000251799,56818314
ENSG00000239183,92292593
ENSG00000278701,20341045
ENSG00000221039,20249211
ENSG00000263641,231362793
ENSG00000243541,15950981
ENSG00000252362,139231119
ENSG00000251883,25611223
ENSG00000221639,73264084
ENSG00000274206,96939203
ENSG00000222370,220200676
ENSG00000284190,59841337
ENSG00000252063,53760188
ENSG00000201545,19996925
ENSG00000278712,54191048
ENSG00000275132,38200532
ENSG00000211590,35720808
ENSG00000199420,15094094
ENSG00000221737,125790552
ENSG00000251773,86235424
ENSG00000207513,16666948
ENSG00000283886,39874562
ENSG00000208797,151103891
ENSG00000207093,25070526
ENSG00000238517,20399354
ENSG00000206828,149636929
ENSG00000201725,8883533
ENSG00000252599,44154895
ENSG00000202502,183258416
ENSG00000276678,10287482
ENSG00000284134,114316569
ENSG00000222496,206221634
ENSG00000283792,152536516
ENSG00000221806,18611167
ENSG00000243546,68236539
ENSG00000252076,58869528
ENSG00000275652,40369907
ENSG00000199350,84040033
ENSG00000207779,160404685
ENSG00000264618,39786823
ENSG00000199468,156814234
ENSG00000265527,35664789
ENSG00000252796,39621073
ENSG00000252119,119323409
ENSG00000277941,26671550
ENSG00000274547,44939028
ENSG00000252243,46531342
ENSG00000199879,148263632
ENSG00000221601,159318167
